"Sign","Total","Start","End","Medial","Singleton","StartPct","EndPct","MedialPct","SingletonPct","MeanNormPosition","EndMinusStart"
"630","23","12","0","11","0","0.5217","0","0.4783","0","0.2709","-0.5217"
"824","23","7","16","0","0","0.3043","0.6957","0","0","0.6957","0.3913"
"236","22","3","8","11","0","0.1364","0.3636","0.5","0","0.6138","0.2273"
"832","22","6","6","10","0","0.2727","0.2727","0.4545","0","0.5237","0"
"095","21","4","1","16","0","0.1905","0.0476","0.7619","0","0.448","-0.1429"
"165","21","6","7","8","0","0.2857","0.3333","0.381","0","0.5552","0.0476"
"171","21","13","0","8","0","0.619","0","0.381","0","0.1478","-0.619"
"104","20","13","2","5","0","0.65","0.1","0.25","0","0.2283","-0.55"
"500","20","1","0","19","0","0.05","0","0.95","0","0.2244","-0.05"
"495","19","10","0","9","0","0.5263","0","0.4737","0","0.2774","-0.5263"
"048","18","0","1","17","0","0","0.0556","0.9444","0","0.6806","0.0556"
"091","18","17","0","1","0","0.9444","0","0.0556","0","0.0222","-0.9444"
"175","18","9","0","9","0","0.5","0","0.5","0","0.2667","-0.5"
"555","18","1","1","16","0","0.0556","0.0556","0.8889","0","0.6661","0"
"621","18","3","13","2","0","0.1667","0.7222","0.1111","0","0.787","0.5556"
"745","18","7","0","11","0","0.3889","0","0.6111","0","0.2122","-0.3889"
"035","17","2","4","11","0","0.1176","0.2353","0.6471","0","0.5067","0.1176"
"645","17","1","1","15","0","0.0588","0.0588","0.8824","0","0.377","0"
"097","16","6","0","10","0","0.375","0","0.625","0","0.4201","-0.375"
"222","16","2","0","14","0","0.125","0","0.875","0","0.5742","-0.125"
"480","16","4","1","11","0","0.25","0.0625","0.6875","0","0.4041","-0.1875"
"632","16","6","0","10","0","0.375","0","0.625","0","0.2094","-0.375"
"636","16","0","0","16","0","0","0","1","0","0.5547","0"
"831","16","9","1","6","0","0.5625","0.0625","0.375","0","0.1964","-0.5"
"321","15","1","0","14","0","0.0667","0","0.9333","0","0.7778","-0.0667"
"436","15","0","1","14","0","0","0.0667","0.9333","0","0.5622","0.0667"
"463","15","0","1","14","0","0","0.0667","0.9333","0","0.4874","0.0667"
"491","15","13","0","2","0","0.8667","0","0.1333","0","0.0767","-0.8667"
"679","15","4","11","0","0","0.2667","0.7333","0","0","0.7333","0.4667"
"877","14","6","0","8","0","0.4286","0","0.5714","0","0.3243","-0.4286"
"072","13","5","1","7","0","0.3846","0.0769","0.5385","0","0.3916","-0.3077"
"320","13","3","0","10","0","0.2308","0","0.7692","0","0.3506","-0.2308"
"526","13","0","13","0","0","0","1","0","0","1","1"
"711","13","0","0","13","0","0","0","1","0","0.6231","0"
"838","13","5","0","8","0","0.3846","0","0.6154","0","0.2763","-0.3846"
"921","13","4","1","8","0","0.3077","0.0769","0.6154","0","0.3888","-0.2308"
"167","12","0","12","0","0","0","1","0","0","1","1"
"297","12","1","0","11","0","0.0833","0","0.9167","0","0.3917","-0.0833"
"318","12","0","0","12","0","0","0","1","0","0.3167","0"
"605","12","8","0","4","0","0.6667","0","0.3333","0","0.2042","-0.6667"
"821","12","5","2","5","0","0.4167","0.1667","0.4167","0","0.4831","-0.25"
"065","11","0","1","10","0","0","0.0909","0.9091","0","0.3645","0.0909"
"137","11","7","3","1","0","0.6364","0.2727","0.0909","0","0.3182","-0.3636"
"241","11","0","9","2","0","0","0.8182","0.1818","0","0.9318","0.8182"
"382","11","4","1","6","0","0.3636","0.0909","0.5455","0","0.4123","-0.2727"
"565","11","1","8","2","0","0.0909","0.7273","0.1818","0","0.8649","0.6364"
"890","11","0","0","11","0","0","0","1","0","0.7455","0"
"905","11","10","0","1","0","0.9091","0","0.0909","0","0.0545","-0.9091"
"056","10","1","0","9","0","0.1","0","0.9","0","0.1933","-0.1"
"130","10","1","3","6","0","0.1","0.3","0.6","0","0.5667","0.2"
"161","10","0","10","0","0","0","1","0","0","1","1"
"190","10","5","1","4","0","0.5","0.1","0.4","0","0.2679","-0.4"
"243","10","3","1","6","0","0.3","0.1","0.6","0","0.5267","-0.2"
"337","10","1","0","9","0","0.1","0","0.9","0","0.5656","-0.1"
"365","10","0","2","8","0","0","0.2","0.8","0","0.4875","0.2"
"484","10","4","1","5","0","0.4","0.1","0.5","0","0.3561","-0.3"
"525","10","0","1","9","0","0","0.1","0.9","0","0.705","0.1"
"530","10","3","0","7","0","0.3","0","0.7","0","0.1796","-0.3"
"554","10","3","0","7","0","0.3","0","0.7","0","0.4833","-0.3"
"853","10","9","0","1","0","0.9","0","0.1","0","0.025","-0.9"
"868","10","0","10","0","0","0","1","0","0","1","1"
"063","9","1","1","7","0","0.1111","0.1111","0.7778","0","0.5029","0"
"111","9","1","3","5","0","0.1111","0.3333","0.5556","0","0.5685","0.2222"
"136","9","0","8","1","0","0","0.8889","0.1111","0","0.9074","0.8889"
"347","9","8","0","1","0","0.8889","0","0.1111","0","0.0556","-0.8889"
"371","9","6","0","3","0","0.6667","0","0.3333","0","0.1952","-0.6667"
"374","9","3","0","6","0","0.3333","0","0.6667","0","0.3039","-0.3333"
"406","9","1","3","5","0","0.1111","0.3333","0.5556","0","0.7053","0.2222"
"519","9","5","0","4","0","0.5556","0","0.4444","0","0.2685","-0.5556"
"773","9","1","0","8","0","0.1111","0","0.8889","0","0.686","-0.1111"
"792","9","5","0","4","0","0.5556","0","0.4444","0","0.2074","-0.5556"
"794","9","2","0","7","0","0.2222","0","0.7778","0","0.3903","-0.2222"
"924","9","2","1","6","0","0.2222","0.1111","0.6667","0","0.3333","-0.1111"
"927","9","3","0","6","0","0.3333","0","0.6667","0","0.4537","-0.3333"
"101","8","2","0","6","0","0.25","0","0.75","0","0.3333","-0.25"
"215","8","3","4","1","0","0.375","0.5","0.125","0","0.5938","0.125"
"232","8","1","3","4","0","0.125","0.375","0.5","0","0.5923","0.25"
"250","8","3","2","3","0","0.375","0.25","0.375","0","0.3375","-0.125"
"260","8","5","0","3","0","0.625","0","0.375","0","0.282","-0.625"
"269","8","0","1","7","0","0","0.125","0.875","0","0.6314","0.125"
"298","8","0","4","4","0","0","0.5","0.5","0","0.6708","0.5"
"315","8","3","0","5","0","0.375","0","0.625","0","0.1854","-0.375"
"317","8","3","5","0","0","0.375","0.625","0","0","0.625","0.25"
"336","8","0","0","8","0","0","0","1","0","0.5208","0"
"360","8","4","1","3","0","0.5","0.125","0.375","0","0.2125","-0.375"
"417","8","0","0","8","0","0","0","1","0","0.6","0"
"422","8","0","6","2","0","0","0.75","0.25","0","0.8125","0.75"
"467","8","5","0","3","0","0.625","0","0.375","0","0.1667","-0.625"
"468","8","6","0","2","0","0.75","0","0.25","0","0.1667","-0.75"
"504","8","0","4","4","0","0","0.5","0.5","0","0.6861","0.5"
"510","8","4","0","4","0","0.5","0","0.5","0","0.2737","-0.5"
"545","8","8","0","0","0","1","0","0","0","0","-1"
"597","8","0","0","8","0","0","0","1","0","0.5375","0"
"703","8","5","0","3","0","0.625","0","0.375","0","0.1292","-0.625"
"772","8","0","0","8","0","0","0","1","0","0.6863","0"
"776","8","1","2","5","0","0.125","0.25","0.625","0","0.4878","0.125"
"812","8","0","1","7","0","0","0.125","0.875","0","0.4001","0.125"
"844","8","2","0","6","0","0.25","0","0.75","0","0.5571","-0.25"
"906","8","2","1","5","0","0.25","0.125","0.625","0","0.215","-0.125"
"015","7","4","1","2","0","0.5714","0.1429","0.2857","0","0.3452","-0.4286"
"066","7","3","1","3","0","0.4286","0.1429","0.4286","0","0.3452","-0.2857"
"093","7","0","2","5","0","0","0.2857","0.7143","0","0.6524","0.2857"
"098","7","5","0","2","0","0.7143","0","0.2857","0","0.1429","-0.7143"
"219","7","5","0","2","0","0.7143","0","0.2857","0","0.2024","-0.7143"
"323","7","5","1","1","0","0.7143","0.1429","0.1429","0","0.1905","-0.5714"
"391","7","4","2","1","0","0.5714","0.2857","0.1429","0","0.3571","-0.2857"
"408","7","4","3","0","0","0.5714","0.4286","0","0","0.4286","-0.1429"
"540","7","2","0","5","0","0.2857","0","0.7143","0","0.3857","-0.2857"
"592","7","2","4","1","0","0.2857","0.5714","0.1429","0","0.6429","0.2857"
"804","7","1","4","2","0","0.1429","0.5714","0.2857","0","0.75","0.4286"
"880","7","5","0","2","0","0.7143","0","0.2857","0","0.119","-0.7143"
"014","6","3","0","3","0","0.5","0","0.5","0","0.1917","-0.5"
